NPOP08	NPREBOT	NBOT	TBOT	TLEN	NANC	RANC	MaxEstLhood	MaxObsLhood
12267	15337	323	9	3	5720	-9.86299e-05	-3119.534	-2486.401
55110	80383	1378	8	3	2754	-3.37375e-04	-3078.906	-2486.401
42153	16835	295	11	3	517	-3.48317e-04	-3080.925	-2486.401
37074	71183	3181	14	2	2572	-3.32057e-04	-3080.482	-2486.401
41115	33297	1180	12	3	920	-3.58885e-04	-3081.477	-2486.401
30835	14010	224	12	3	486	-3.36132e-04	-3078.902	-2486.401
16124	7518	190	10	3	2889	-9.56390e-05	-3122.680	-2486.401
18901	8307	359	9	3	3159	-9.66843e-05	-3121.042	-2486.401
43768	85299	3587	8	2	1925	-3.79124e-04	-3079.985	-2486.401
69298	29801	450	9	2	1022	-3.37278e-04	-3081.97292	-2486.401
86194	29348	1161	11	2	935	-3.44643e-04	-3079.961	-2486.401
22846	57293	1157	10	2	1487	-3.65142e-04	-3078.527	-2486.401
10749	9205	234	11	1	3416	-9.91277e-05	-3119.962	-2486.401
13532	12207	441	10	3	4609	-9.73999e-05	-3122.094	-2486.401
38502	15021	149	11	1	571	-3.26982e-04	-3079.344	-2486.401
34857	64360	1688	11	3	2953	-3.08167e-04	-3079.401	-2486.401
49229	16437	256	12	2	615	-3.28567e-04	-3079.932	-2486.401
26432	33523	536	12	3	1266	-3.27637e-04	-3080.683	-2486.401
19879	58352	849	11	3	1835	-3.45945e-04	-3080.483	-2486.401
57908	58911	562	8	2	2474	-3.17019e-04	-3079.684	-2486.401
28926	67715	1677	9	2	1683	-3.69473e-04	-3080.85156	-2486.401
71319	23360	241	9	2	815	-3.35559e-04	-3080.225	-2486.401
60737	7557	295	8	4	2823	-9.84674e-05	-3118.440	-2486.401
66243	47292	1965	10	3	1298	-3.59552e-04	-3079.837	-2486.401
30187	53877	1244	10	3	1786	-3.40673e-04	-3079.545	-2486.401
61771	26564	349	9	1	835	-3.45988e-04	-3081.13904	-2486.401
27707	37650	595	11	1	1195	-3.45019e-04	-3078.908	-2486.401
35202	35169	921	12	2	1157	-3.41433e-04	-3081.024	-2486.401
62403	30729	318	9	2	1213	-3.23211e-04	-3081.859	-2486.401
29553	88329	1860	8	3	2391	-3.60936e-04	-3081.311	-2486.401
16752	87913	771	9	2	3634	-3.18601e-04	-3079.128	-2486.401
71834	12497	238	11	4	485	-3.24910e-04	-3079.854	-2486.401
74430	33655	604	9	1	964	-3.55283e-04	-3080.488	-2486.401
13650	13380	363	10	3	4944	-9.95586e-05	-3120.433	-2486.401
21400	72354	1879	11	2	1929	-3.62457e-04	-3078.322	-2486.401
13055	48688	847	12	1	1244	-3.66710e-04	-3079.805	-2486.401
12264	38553	593	13	2	1457	-3.27565e-04	-3078.75106	-2486.401
61646	45039	1042	9	3	1492	-3.40741e-04	-3078.981	-2486.401
8911	17971	566	12	4	6721	-9.83522e-05	-3120.822	-2486.401
18774	8635	326	10	4	3207	-9.90488e-05	-3120.463	-2486.401
53166	57101	798	8	2	1942	-3.38110e-04	-3081.071	-2486.401
18116	33541	303	12	1	1555	-3.07129e-04	-3080.332	-2486.401
17673	7568	262	10	3	2819	-9.87547e-05	-3120.468	-2486.401
15541	140285	3050	8	2	3422	-3.71345e-04	-3080.992	-2486.401
54672	68254	2060	8	2	2147	-3.45916e-04	-3079.292	-2486.401
21816	66636	966	9	3	1822	-3.59931e-04	-3081.617	-2486.401
105570	30721	355	8	2	1215	-3.23020e-04	-3079.726	-2486.401
20424	64418	1821	12	2	2104	-3.42155e-04	-3078.262	-2486.401
49179	114296	9504	11	1	5178	-3.09437e-04	-3080.673	-2486.401
31796	21559	235	10	2	618	-3.55206e-04	-3080.600	-2486.401
