NPOP08	NANC	NBOT	TBOT	TLEN	RANC	MaxEstLhood	MaxObsLhood
20278	119110	3381	6	3	-8.01136e-04	-3699.804	-2785.610
23672	130569	12519	6	1	-6.40687e-04	-3754.467	-2810.607
9541	131746	13266	5	2	-7.27026e-04	-3612.666	-2783.765
24609	120042	16273	4	4	-7.33342e-04	-3656.94652	-2813.882
5071	96431	12523	5	2	-8.79077e-04	-3712.655	-2792.195
11832	111557	11823	7	1	-8.12707e-04	-3701.705	-2821.592
41360	101825	277	7	2	-8.75177e-04	-3736.154	-2806.840
21658	90019	21770	5	2	-8.38709e-04	-3698.004	-2826.736
28848	73133	8507	4	3	-1.08095e-03	-3760.777	-2831.948
27708	127667	29506	4	4	-7.47530e-04	-3683.942	-2793.991
13789	88722	2912	6	1	-8.35579e-04	-3743.773	-2819.191
7827	96726	223	7	1	-9.38528e-04	-3715.236	-2797.678
14099	98758	3761	6	1	-9.18897e-04	-3669.95806	-2799.524
40758	108348	50915	5	2	-9.04710e-04	-3652.398	-2815.126
24890	86820	31795	5	2	-7.98981e-04	-3820.907	-2828.183
12502	83517	17554	5	2	-9.63566e-04	-3693.443	-2803.576
10517	83967	6559	5	2	-1.17461e-03	-3749.343	-2845.093
30344	84584	41984	4	3	-1.04920e-03	-3693.060	-2808.157
13488	98794	23620	4	3	-9.65826e-04	-3757.798	-2817.531
4141	78083	40567	4	3	-9.99238e-04	-3690.998	-2801.896
42894	117318	8021	5	2	-6.66637e-04	-3769.669	-2853.009
37184	83739	10941	5	2	-8.64053e-04	-3696.881	-2809.570
32305	79926	15843	5	2	-1.09141e-03	-3742.424	-2837.992
47447	88296	3292	6	1	-8.70338e-04	-3727.805	-2836.644
9048	86852	31020	4	3	-9.80399e-04	-3733.967	-2814.871
36531	92707	1963	6	1	-8.25984e-04	-3688.938	-2780.492
8025	111287	7096	5	2	-8.32031e-04	-3740.844	-2805.293
29360	117841	9642	4	3	-8.35493e-04	-3759.418	-2842.317
7386	106710	21212	4	3	-9.72259e-04	-3673.479	-2780.882
9151	116390	60889	4	3	-6.34041e-04	-3668.226	-2774.138
18815	87801	6486	4	3	-1.06325e-03	-3651.85228	-2787.695
30703	116319	12880	5	2	-7.93361e-04	-3707.307	-2832.793
10917	103488	7916	4	3	-8.56127e-04	-3721.262	-2795.559
28473	83245	14263	4	3	-8.94894e-04	-3706.308	-2805.918
5127	87492	2792	8	1	-1.18994e-03	-3644.494	-2804.469
5478	111788	9194	8	2	-7.23472e-04	-3711.573	-2838.462
15719	91436	7658	6	1	-7.70707e-04	-3762.260	-2849.655
10792	118769	27196	5	2	-7.41413e-04	-3740.040	-2844.686
15667	128995	18656	5	2	-5.95118e-04	-3726.531	-2841.851
20727	110411	2231	6	1	-7.56773e-04	-3722.043	-2798.169
45081	98441	23925	5	2	-8.84764e-04	-3658.356	-2801.907
21322	66836	19402	5	2	-1.05581e-03	-3715.411	-2827.225
16381	67918	18042	4	3	-1.11236e-03	-3723.891	-2814.279
35075	113841	7083	7	1	-6.90547e-04	-3673.536	-2774.767
23819	80314	4655	5	2	-9.71780e-04	-3655.48422	-2780.788
38238	112841	6304	6	1	-9.88860e-04	-3605.988	-2749.928
6571	81869	30472	4	3	-9.66292e-04	-3754.941	-2833.673
33114	82504	38593	5	2	-1.15950e-03	-3665.016	-2804.810
28787	110716	412	6	2	-7.30348e-04	-3774.464	-2825.807
14502	76532	10936	6	1	-1.16238e-03	-3742.293	-2810.607
41494	107992	14158	4	3	-8.13381e-04	-3667.520	-2828.051
17731	103296	14577	5	2	-7.19927e-04	-3725.267	-2842.990
12009	104453	35690	5	3	-7.46230e-04	-3768.073	-2833.378
16476	106065	12715	4	3	-9.40345e-04	-3674.521	-2806.231
15861	138756	18327	6	1	-5.91059e-04	-3683.106	-2788.222
14407	105522	26792	8	1	-7.92363e-04	-3753.070	-2814.798
19028	103813	19550	6	1	-6.97505e-04	-3763.506	-2822.707
25084	91875	30759	4	3	-9.66211e-04	-3677.443	-2824.320
18455	103049	1065	5	2	-8.02047e-04	-3791.661	-2797.969
31161	95937	335	7	1	-9.57996e-04	-3713.188	-2818.486
53523	124571	542	7	1	-7.39397e-04	-3682.147	-2783.582
5166	120311	5219	6	2	-7.65567e-04	-3693.360	-2820.679
15448	102554	405	7	4	-9.54673e-05	-3684.485	-2800.182
60222	138493	5721	5	2	-6.83994e-04	-3677.721	-2802.050
6167	97081	318	8	1	-9.15669e-04	-3685.659	-2790.854
17799	111009	9566	4	3	-8.61286e-04	-3654.802	-2791.427
13917	84173	10589	5	2	-9.91287e-04	-3672.984	-2807.800
79217	110062	50366	4	3	-7.18932e-04	-3698.827	-2809.275
43897	134004	290	7	1	-5.48957e-04	-3736.622	-2817.303
10464	83282	10633	4	3	-7.92945e-04	-3741.436	-2812.857
29110	84559	20778	6	1	-8.22037e-04	-3757.841	-2832.467
46502	125937	5342	5	2	-8.23426e-04	-3720.864	-2791.028
12110	103609	11849	4	3	-1.08831e-03	-3652.461	-2787.030
23607	123572	9452	4	3	-5.71671e-04	-3748.775	-2835.888
19975	95242	1961	6	1	-1.09190e-03	-3750.997	-2805.905
47427	100796	2489	6	2	-8.88488e-04	-3792.933	-2832.426
15512	87532	24250	6	1	-9.59824e-04	-3717.944	-2835.722
7073	85705	4349	4	3	-1.01766e-03	-3766.135	-2835.144
20027	73361	14268	5	2	-9.64025e-04	-3727.732	-2799.085
11994	82819	26462	4	3	-1.07438e-03	-3735.119	-2803.011
19568	86761	7468	6	1	-1.04926e-03	-3721.520	-2806.506
26880	98837	540	7	1	-8.23271e-04	-3734.046	-2812.280
11422	83717	25834	5	2	-1.08834e-03	-3700.572	-2797.592
18046	88262	2333	6	1	-1.28902e-03	-3733.860	-2797.711
26581	96117	2838	5	2	-1.00699e-03	-3729.383	-2817.751
9983	113574	34798	4	3	-7.21699e-04	-3815.491	-2851.087
4513	105084	6101	6	1	-7.37380e-04	-3744.286	-2831.472
10292	112027	14391	6	3	-7.29393e-04	-3720.47943	-2822.344
14963	140119	25427	6	1	-5.71229e-04	-3713.771	-2806.879
19748	94665	15371	5	2	-9.06347e-04	-3710.474	-2811.345
50398	132879	5814	6	1	-6.34270e-04	-3668.215	-2798.147
11339	83402	18080	3	4	-9.20786e-04	-3732.446	-2835.175
36463	92239	25308	4	3	-7.38340e-04	-3813.719	-2813.106
15266	140542	167	8	2	-9.63195e-05	-3698.169	-2756.550
16377	103184	205	7	2	-9.31744e-04	-3669.072	-2810.002
36914	116011	2282	4	3	-7.52945e-04	-3654.572	-2794.574
14992	93118	1563	6	1	-1.03764e-03	-3725.873	-2807.687
7614	116160	1640	5	2	-6.95446e-04	-3677.527	-2800.408
15158	19792	1146	11	3	0.0071513	-3758.828	-2829.124
11280	79410	9125	6	1	-1.14612e-03	-3760.740	-2822.107
