NPOP08	NPREBOT	NBOT	TBOT	TLEN	NANC	RANC	MaxEstLhood	MaxObsLhood
12591	50491	450	8	2	4017	-2.81251e-04	-3804.960	-2851.087
25259	81950	1311	7	3	5601	-2.98129e-04	-3733.653	-2831.472
17047	52925	1166	11	3	3522	-3.01094e-04	-3712.044	-2822.344
60455	52646	1613	7	2	2954	-3.20048e-04	-3700.645	-2806.879
25555	98110	4549	8	3	5217	-3.26019e-04	-3697.783	-2811.345
50395	38522	987	8	2	2130	-3.21679e-04	-3655.593	-2798.147
26588	63976	2322	8	2	3549	-3.21316e-04	-3723.738	-2835.175
11343	43298	426	10	2	3056	-2.94556e-04	-3795.855	-2813.106
16877	71123	1089	8	3	4826	-2.98933e-04	-3689.328	-2756.550
30682	53934	4662	13	1	2766	-3.30040e-04	-3664.550	-2810.002
23631	55408	1756	9	3	2948	-3.25955e-04	-3645.727	-2794.574
78020	10037	479	12	1	657	-3.02928e-04	-3708.682	-2807.687
38562	73601	1311	7	3	3718	-3.31719e-04	-3668.000	-2800.408
62406	60210	9335	9	1	2877	-3.37899e-04	-3739.247	-2829.124
51414	56235	1065	8	2	4142	-2.89818e-04	-3744.273	-2822.107
