NPOP08	NPREBOT	NBOT	TBOT	TLEN	MaxEstLhood	MaxObsLhood
23550	33153	975	10	2	-3274.460	-2548.442
11933	46537	1125	9	2	-3275.736	-2548.442
7780	28105	776	8	1	-3273.287	-2548.442
10614	24008	1524	8	2	-3275.215	-2548.442
13323	64968	3075	8	3	-3273.701	-2548.442
33767	51084	540	8	1	-3273.935	-2548.442
51596	51068	1619	9	3	-3275.012	-2548.442
9538	16646	1785	8	3	-3273.151	-2548.442
10708	44984	1140	7	2	-3275.886	-2548.442
7221	42594	10118	9	3	-3275.782	-2548.442
21560	62148	1238	7	1	-3272.675	-2548.442
11201	26113	616	8	1	-3274.833	-2548.442
31027	69906	2129	9	3	-3274.212	-2548.442
5247	62401	1042	7	2	-3272.015	-2548.442
19044	27199	2096	10	3	-3274.880	-2548.442
17968	22993	2099	9	2	-3273.453	-2548.442
8489	30797	2052	7	3	-3273.908	-2548.442
12744	52628	1268	11	2	-3271.327	-2548.442
16210	44604	436	8	1	-3272.811	-2548.442
43968	32605	689	7	1	-3274.173	-2548.442
15273	30322	1698	8	2	-3273.784	-2548.442
11059	25465	982	7	2	-3274.124	-2548.442
29538	46102	1762	8	4	-3272.654	-2548.442
13163	40991	1749	8	2	-3274.135	-2548.442
26485	22694	1008	7	2	-3273.493	-2548.442
19420	51730	2812	10	3	-3273.566	-2548.442
5648	51089	2681	6	3	-3274.361	-2548.442
8339	76327	1706	9	1	-3275.686	-2548.442
11217	27222	2028	8	3	-3273.928	-2548.442
33355	32263	2402	8	3	-3275.098	-2548.442
11229	33596	2120	8	2	-3275.113	-2548.442
13446	59225	3570	7	3	-3273.470	-2548.442
22917	59826	1728	6	3	-3273.622	-2548.442
18482	61579	4094	8	3	-3274.292	-2548.442
15656	62225	1111	7	2	-3274.348	-2548.442
19023	83029	983	8	1	-3274.960	-2548.442
10610	51708	1073	8	2	-3274.929	-2548.442
42791	80595	800	8	1	-3275.645	-2548.442
9017	67292	2212	8	2	-3271.933	-2548.442
22177	81612	393	7	1	-3272.738	-2548.442
52756	48163	848	7	2	-3272.714	-2548.442
11007	49408	1169	9	1	-3273.905	-2548.442
57399	33111	1758	6	4	-3275.787	-2548.442
25467	35481	1190	6	2	-3275.197	-2548.442
9559	30578	2585	11	4	-3275.188	-2548.442
20529	50207	1725	7	3	-3274.659	-2548.442
23307	44326	1233	7	2	-3274.195	-2548.442
28193	62399	2094	7	4	-3275.334	-2548.442
26112	26313	471	7	1	-3273.361	-2548.442
10890	59846	1891	8	2	-3272.523	-2548.442
