NPOP08	NPREBOT	NBOT	TBOT	TLEN	NANC	RANC	MaxEstLhood	MaxObsLhood
42854	11113	207	12	2	451	-3.56045e-04	-3176.502	-2548.442
38434	23709	528	11	3	751	-3.83578e-04	-3179.225	-2548.442
34769	44601	756	9	2	1366	-3.87319e-04	-3180.318	-2548.442
27143	12135	232	14	2	653	-3.24697e-04	-3181.617	-2548.442
58198	67934	923	8	2	2495	-3.67139e-04	-3179.328	-2548.442
87053	13792	575	12	2	558	-3.56387e-04	-3179.639	-2548.442
73003	23753	599	11	1	1070	-3.44450e-04	-3179.187	-2548.442
98820	70661	954	7	2	2642	-3.65151e-04	-3179.278	-2548.442
20950	5708	303	10	3	2360	-9.81341e-05	-3222.26894	-2548.442
43129	40612	627	9	2	1294	-3.82925e-04	-3180.031	-2548.442
22197	86888	2852	10	1	3390	-3.60421e-04	-3178.893	-2548.442
25088	38861	878	11	3	1433	-3.66691e-04	-3180.321	-2548.442
72019	21322	632	12	2	828	-3.60942e-04	-3179.361	-2548.442
14005	11370	435	8	2	4804	-9.57255e-05	-3221.397	-2548.442
45046	62079	2265	10	1	2164	-3.72939e-04	-3179.461	-2548.442
38844	26128	833	12	2	931	-3.70500e-04	-3179.654	-2548.442
24545	25334	371	11	3	736	-3.93186e-04	-3179.076	-2548.442
32317	23659	411	11	3	1008	-3.50642e-04	-3177.956	-2548.442
39810	97100	2542	8	2	3971	-3.55191e-04	-3180.283	-2548.442
12141	9543	613	10	3	3953	-9.79259e-05	-3220.479	-2548.442
11282	10463	685	10	3	4326	-9.81335e-05	-3221.245	-2548.442
55711	55302	1964	10	2	1924	-3.73156e-04	-3180.457	-2548.442
13613	10931	1036	10	4	4457	-9.96808e-05	-3221.922	-2548.442
46744	44748	2392	12	3	1594	-3.70533e-04	-3178.562	-2548.442
18093	29285	280	11	1	1644	-3.19994e-04	-3180.307	-2548.442
41723	99246	3572	8	4	3886	-3.60025e-04	-3178.119	-2548.442
13890	38910	685	13	2	1623	-3.52997e-04	-3180.030	-2548.442
81657	19404	780	11	1	780	-3.57105e-04	-3180.104	-2548.442
59459	61709	1165	8	4	2725	-3.46662e-04	-3178.119	-2548.442
12322	7604	547	10	2	3124	-9.88400e-05	-3221.08813	-2548.442
25430	61075	1368	11	3	2766	-3.43856e-04	-3178.537	-2548.442
27410	58344	818	9	2	2309	-3.58838e-04	-3179.418	-2548.442
12138	26320	286	12	3	1065	-3.56373e-04	-3180.040	-2548.442
11949	71098	1042	11	2	3381	-3.38432e-04	-3179.342	-2548.442
56984	32489	696	10	3	1315	-3.56341e-04	-3178.20002	-2548.442
35723	40013	1177	11	2	1695	-3.51280e-04	-3176.750	-2548.442
21857	53692	1345	11	2	1936	-3.69182e-04	-3181.165	-2548.442
60893	71340	2367	9	2	2785	-3.60357e-04	-3179.755	-2548.442
45386	23383	527	10	3	714	-3.87654e-04	-3179.147	-2548.442
53494	22532	283	10	1	991	-3.47109e-04	-3178.090	-2548.442
53929	41299	352	8	1	1473	-3.70393e-04	-3179.813	-2548.442
63980	19375	198	9	3	754	-3.60705e-04	-3178.134	-2548.442
46101	18755	417	11	2	755	-3.56944e-04	-3180.097	-2548.442
34498	34591	1403	15	1	1563	-3.44110e-04	-3177.214	-2548.442
55438	16874	569	13	2	788	-3.40448e-04	-3178.814	-2548.442
20425	29251	508	12	2	1336	-3.42915e-04	-3180.097	-2548.442
13974	12659	817	10	3	5172	-9.94566e-05	-3220.716	-2548.442
22917	68212	2306	11	1	2357	-3.73915e-04	-3180.047	-2548.442
69001	38225	909	9	3	1669	-3.47918e-04	-3180.463	-2548.442
53390	23893	375	10	3	1035	-3.48798e-04	-3177.375	-2548.442
