NPOP08	MaxEstLhood	MaxObsLhood
37071	-3281.963	-2548.442
23270	-3282.527	-2548.442
26116	-3282.716	-2548.442
11073	-3282.632	-2548.442
33658	-3280.889	-2548.442
23559	-3280.652	-2548.442
50834	-3283.024	-2548.442
20668	-3281.019	-2548.442
28209	-3283.367	-2548.442
66370	-3282.080	-2548.442
19023	-3281.739	-2548.442
14800	-3281.719	-2548.442
32672	-3280.450	-2548.442
14294	-3282.643	-2548.442
46180	-3281.445	-2548.442
20367	-3281.600	-2548.442
42697	-3282.752	-2548.442
25450	-3283.172	-2548.442
52362	-3282.500	-2548.442
18238	-3282.651	-2548.442
46262	-3281.238	-2548.442
30974	-3281.446	-2548.442
79410	-3282.564	-2548.442
50751	-3279.442	-2548.442
48821	-3280.752	-2548.442
68436	-3280.780	-2548.442
24311	-3281.032	-2548.442
46421	-3281.751	-2548.442
35163	-3282.392	-2548.442
12296	-3282.212	-2548.442
31015	-3282.273	-2548.442
69875	-3283.002	-2548.442
34567	-3282.774	-2548.442
34522	-3281.200	-2548.442
65616	-3283.089	-2548.442
49770	-3281.915	-2548.442
38297	-3280.849	-2548.442
38300	-3280.380	-2548.442
19386	-3282.312	-2548.442
32852	-3282.807	-2548.442
11929	-3282.758	-2548.442
40889	-3281.430	-2548.442
22929	-3283.073	-2548.442
40648	-3281.874	-2548.442
8065	-3280.541	-2548.442
47034	-3281.780	-2548.442
28526	-3281.452	-2548.442
30219	-3282.675	-2548.442
43432	-3283.655	-2548.442
26134	-3283.414	-2548.442
