NPOP08	NPREBOT	NBOT	TBOT	TLEN	NANC	RANC	MaxEstLhood	MaxObsLhood
13382	98063	44144	5	2	195	-6.91152e-04	-3186.879	-2548.442
887	474	17363	37	4	47007	5.10760e-04	-3384.376	-2548.442
11602	19987	364	7	1	8290	-9.77813e-05	-3224.326	-2548.442
6652	21089	1585	9	3	8602	-9.96396e-05	-3223.181	-2548.442
32532	95810	17482	5	2	213	-6.78759e-04	-3186.950	-2548.442
54869	17563	563	8	2	7277	-9.78973e-05	-3227.448	-2548.442
10737	116172	14597	7	1	224	-6.94576e-04	-3186.214	-2548.442
5699	116423	15511	7	1	419	-6.25235e-04	-3186.318	-2548.442
7431	47454	1443	11	3	19436	-9.91815e-05	-3218.640	-2548.442
8106	111973	886	7	1	419	-6.20905e-04	-3186.046	-2548.442
11407	111089	287	7	2	267	-6.70093e-04	-3186.836	-2548.442
6806	9930	1827	7	4	4150	-9.69391e-05	-3240.355	-2548.442
18064	116919	4691	7	1	719	-5.65708e-04	-3186.17228	-2548.442
41632	140764	37263	6	1	1317	-5.19081e-04	-3184.849	-2548.442
9446	14081	757	7	2	5797	-9.86095e-05	-3227.846	-2548.442
11162	8092	746	8	2	3473	-9.39841e-05	-3248.094	-2548.442
5304	4939	1893	7	2	2252	-8.72605e-05	-3261.719	-2548.442
6502	40085	938	7	3	16624	-9.77950e-05	-3217.703	-2548.442
20678	122489	290	7	3	619	-5.87519e-04	-3185.753	-2548.442
23099	109110	399	7	2	231	-6.84188e-04	-3186.408	-2548.442
1044	619	1120	44	2	529	-1.74574e-05	-3316.83318	-2548.442
7373	132605	9526	7	2	666	-5.88204e-04	-3186.919	-2548.442
21040	7139	906	7	2	3003	-9.62179e-05	-3250.285	-2548.442
9343	6788	1085	7	2	2856	-9.61927e-05	-3252.314	-2548.442
14686	101525	2676	5	2	160	-7.16987e-04	-3186.956	-2548.442
9838	141334	17930	5	3	1949	-4.75979e-04	-3185.594	-2548.442
14826	116668	28860	4	3	454	-6.16554e-04	-3185.979	-2548.442
843	534	18638	35	5	48141	5.00166e-04	-3389.52041	-2548.442
39892	61763	743	9	3	25314	-9.91052e-05	-3216.246	-2548.442
28078	135765	7401	8	1	1605	-4.93089e-04	-3186.471	-2548.442
12709	7410	860	7	2	3188	-9.37152e-05	-3250.918	-2548.442
10535	91962	973	8	2	181	-6.92293e-04	-3186.128	-2548.442
45351	56502	535	9	2	24855	-9.12463e-05	-3218.714	-2548.442
23601	12410	1335	6	3	5242	-9.57555e-05	-3236.396	-2548.442
41962	14639	636	7	2	6004	-9.90293e-05	-3233.045	-2548.442
11970	136679	15306	8	1	1162	-5.29721e-04	-3186.818	-2548.442
7979	12045	955	8	2	5184	-9.36747e-05	-3236.464	-2548.442
17947	105843	2475	8	3	569	-5.80648e-04	-3186.718	-2548.442
2752	2543	16870	30	2	1048	-9.84957e-05	-3285.032	-2548.442
25081	126826	31821	7	1	374	-6.47368e-04	-3185.667	-2548.442
16636	8228	845	7	3	3702	-8.87411e-05	-3247.536	-2548.442
19269	23035	1017	7	3	9681	-9.63166e-05	-3221.232	-2548.442
14034	5719	790	7	2	2465	-9.35114e-05	-3256.076	-2548.442
8632	26294	684	7	2	11108	-9.57417e-05	-3223.866	-2548.442
28165	40347	261	7	1	16488	-9.94316e-05	-3216.254	-2548.442
9916	20674	1249	7	3	8805	-9.48397e-05	-3224.879	-2548.442
21364	124603	301	7	3	942	-5.42765e-04	-3185.528	-2548.442
33257	22625	312	8	1	9655	-9.46200e-05	-3225.350	-2548.442
5369	137457	48684	3	4	3239	-4.16450e-04	-3185.074	-2548.442
13564	22229	505	7	2	9213	-9.78647e-05	-3226.495	-2548.442
