NPOP08	NPREBOT	NBOT	TBOT	TLEN	MaxEstLhood	MaxObsLhood
25681	31716	1020	9	2	-3274.584	-2548.442
70516	9524	486	8	2	-3274.430	-2548.442
47543	43656	183	12	2	-3273.685	-2548.442
28526	50819	634	9	3	-3274.228	-2548.442
12495	20836	1695	6	2	-3275.239	-2548.442
34237	11211	1315	11	2	-3274.024	-2548.442
24539	58544	601	11	4	-3271.900	-2548.442
16216	14065	787	9	3	-3272.643	-2548.442
31777	23564	596	13	3	-3272.804	-2548.442
19126	14862	717	9	3	-3273.053	-2548.442
23875	29261	825	10	2	-3272.143	-2548.442
59967	7177	375	10	2	-3273.600	-2548.442
47707	52834	323	10	3	-3273.848	-2548.442
21313	28106	1389	10	2	-3272.035	-2548.442
22368	26741	1769	8	3	-3272.029	-2548.442
36752	57015	985	10	2	-3274.646	-2548.442
37888	8843	160	11	1	-3273.023	-2548.442
21049	44325	980	11	2	-3273.599	-2548.442
19183	8256	614	11	3	-3272.925	-2548.442
25273	29474	1041	9	2	-3272.525	-2548.442
28318	60079	808	8	2	-3274.306	-2548.442
18460	21209	765	12	2	-3272.183	-2548.442
59513	29092	593	10	4	-3274.057	-2548.442
50832	9780	1710	9	3	-3273.436	-2548.442
48964	24111	715	10	3	-3273.506	-2548.442
27238	32508	935	12	2	-3274.483	-2548.442
16859	9147	757	12	2	-3275.188	-2548.442
19394	17143	1509	9	3	-3275.698	-2548.442
34451	21791	870	8	2	-3273.847	-2548.442
18101	38802	1926	9	2	-3272.952	-2548.442
25419	9339	977	10	2	-3274.279	-2548.442
20040	19238	1219	12	3	-3275.083	-2548.442
26291	10941	1106	9	3	-3275.176	-2548.442
28212	20155	1402	8	2	-3272.930	-2548.442
22589	6049	265	12	2	-3274.853	-2548.442
17585	15676	853	9	2	-3273.446	-2548.442
19850	8637	1121	10	3	-3274.145	-2548.442
45282	9783	654	9	3	-3274.775	-2548.442
29575	9936	911	10	4	-3275.500	-2548.442
32030	26398	1100	10	3	-3272.699	-2548.442
18817	19205	2912	5	4	-3275.546	-2548.442
47988	26609	1557	8	3	-3273.579	-2548.442
14267	35224	2546	10	3	-3274.711	-2548.442
17499	41944	2272	7	1	-3274.459	-2548.442
22688	21966	540	11	2	-3271.540	-2548.442
26792	25987	2107	11	4	-3274.859	-2548.442
18210	61673	1129	13	3	-3274.344	-2548.442
72636	18553	929	7	4	-3274.375	-2548.442
12807	54517	899	11	1	-3274.095	-2548.442
14138	21204	1251	10	1	-3273.337	-2548.442
