NPOP08	MaxEstLhood	MaxObsLhood
26180	-3836.425	-2945.216
72706	-3837.349	-2945.216
26762	-3834.758	-2945.216
35636	-3836.976	-2945.216
12494	-3838.391	-2945.216
14836	-3835.566	-2945.216
18378	-3837.450	-2945.216
27569	-3836.758	-2945.216
15700	-3835.959	-2945.216
46419	-3834.801	-2945.216
14890	-3835.857	-2945.216
16297	-3838.101	-2945.216
25090	-3836.176	-2945.216
29055	-3836.836	-2945.216
15274	-3836.475	-2945.216
19173	-3835.489	-2945.216
19107	-3836.253	-2945.216
68065	-3837.066	-2945.216
22134	-3836.550	-2945.216
9509	-3836.143	-2945.216
21835	-3833.855	-2945.216
17575	-3836.281	-2945.216
55246	-3837.031	-2945.216
38162	-3835.890	-2945.216
29847	-3836.586	-2945.216
44073	-3836.460	-2945.216
26775	-3837.108	-2945.216
20582	-3836.175	-2945.216
17343	-3837.718	-2945.216
44858	-3836.718	-2945.216
41473	-3836.012	-2945.216
19201	-3835.423	-2945.216
58418	-3836.230	-2945.216
42946	-3835.172	-2945.216
52172	-3837.399	-2945.216
43596	-3836.043	-2945.216
28090	-3836.794	-2945.216
48726	-3835.954	-2945.216
47497	-3836.688	-2945.216
21135	-3836.822	-2945.216
25980	-3834.648	-2945.216
13051	-3835.877	-2945.216
26136	-3835.134	-2945.216
85668	-3837.430	-2945.216
28415	-3836.727	-2945.216
53223	-3836.837	-2945.216
23229	-3837.099	-2945.216
40778	-3837.320	-2945.216
29566	-3834.464	-2945.216
36064	-3837.503	-2945.216
