NPOP08	NPREBOT	NBOT	TBOT	TLEN	MaxEstLhood	MaxObsLhood
10568	66898	1049	9	4	-3801.212	-2945.216
38377	61552	659	7	3	-3801.564	-2945.216
9334	51590	207	7	1	-3802.284	-2945.216
18725	55362	234	7	1	-3802.347	-2945.216
13011	50396	900	7	4	-3800.898	-2945.216
8601	54003	381	8	1	-3802.329	-2945.216
27665	58488	168	7	1	-3800.812	-2945.216
8732	31089	260	8	1	-3801.320	-2945.216
23469	75448	669	8	3	-3800.135	-2945.216
12259	57580	838	7	4	-3800.200	-2945.216
22300	80876	474	7	2	-3801.493	-2945.216
13222	72293	479	8	2	-3803.033	-2945.216
33246	58559	770	7	4	-3801.627	-2945.216
25782	31610	726	7	3	-3801.310	-2945.216
31461	64797	201	7	1	-3799.858	-2945.216
11553	48006	659	7	3	-3801.608	-2945.216
14773	53603	211	7	1	-3801.672	-2945.216
22002	41087	210	10	1	-3801.789	-2945.216
10782	82782	444	7	2	-3801.008	-2945.216
9259	79089	989	9	3	-3801.836	-2945.216
12393	46443	443	7	2	-3800.535	-2945.216
13619	45868	267	8	1	-3801.855	-2945.216
21743	51635	606	9	3	-3800.666	-2945.216
20504	58460	465	9	2	-3800.067	-2945.216
21067	46045	517	8	2	-3800.815	-2945.216
11542	77747	498	9	3	-3801.698	-2945.216
25698	71300	763	9	3	-3801.518	-2945.216
56495	60629	363	7	2	-3802.054	-2945.216
17009	40410	483	9	2	-3803.018	-2945.216
21639	53190	707	7	3	-3801.409	-2945.216
26755	36693	404	7	2	-3799.973	-2945.216
17845	56536	849	6	5	-3801.325	-2945.216
12074	34505	952	9	4	-3801.691	-2945.216
12063	71286	367	8	2	-3802.121	-2945.216
6135	96082	585	8	2	-3801.931	-2945.216
10497	51284	692	8	3	-3801.905	-2945.216
25590	57003	469	8	2	-3801.753	-2945.216
14406	27574	595	7	3	-3801.905	-2945.216
9808	46334	230	7	1	-3800.815	-2945.216
10857	41819	209	8	1	-3802.052	-2945.216
16172	61501	315	7	1	-3801.806	-2945.216
32163	48051	730	8	3	-3800.227	-2945.216
13410	64288	534	7	2	-3801.122	-2945.216
11225	32173	369	7	2	-3800.784	-2945.216
11991	60378	427	7	2	-3799.743	-2945.216
10031	71064	444	9	2	-3800.341	-2945.216
12417	35782	425	8	2	-3802.001	-2945.216
14280	58721	916	8	3	-3801.103	-2945.216
57909	68819	702	7	3	-3801.666	-2945.216
13707	75817	219	7	1	-3800.781	-2945.216
