NPOP08	NANC	NBOT	TBOT	TLEN	NOLD	RANC	MaxEstLhood	MaxObsLhood
50091	45602	3514	9	2	1640	-3.69473e-04	-3692.524	-2945.216
14645	55118	698	8	1	2673	-3.36253e-04	-3692.172	-2945.216
91864	69541	7123	7	1	2819	-3.56170e-04	-3688.991	-2945.216
28155	76707	1850	7	2	3474	-3.43854e-04	-3690.836	-2945.216
33332	38933	1000	8	3	1570	-3.56752e-04	-3692.264	-2945.216
37562	64163	3536	9	2	2614	-3.55616e-04	-3692.276	-2945.216
26491	40168	1140	8	2	964	-4.14415e-04	-3691.173	-2945.216
55469	17865	684	10	1	828	-3.41287e-04	-3692.295	-2945.216
27576	41595	1527	8	1	1153	-3.98401e-04	-3692.581	-2945.216
36061	19097	582	10	1	726	-3.63304e-04	-3692.347	-2945.216
48569	30925	1402	9	2	1326	-3.49933e-04	-3692.607	-2945.216
34768	50979	2662	7	1	772	-4.65576e-04	-3692.420	-2945.216
51941	19500	420	9	2	915	-3.39916e-04	-3690.760	-2945.216
50645	38422	1027	8	2	1572	-3.55142e-04	-3691.329	-2945.216
21776	85325	2195	7	1	3799	-3.45748e-04	-3690.805	-2945.216
32112	36693	767	8	1	1582	-3.49322e-04	-3690.370	-2945.216
19021	21593	367	10	2	787	-3.67988e-04	-3691.449	-2945.216
43259	86860	5974	7	1	2953	-3.75720e-04	-3689.816	-2945.216
34130	41294	1076	8	1	1449	-3.72205e-04	-3691.376	-2945.216
54050	11920	187	9	2	454	-3.63097e-04	-3687.972	-2945.216
27565	22401	404	9	2	752	-3.77125e-04	-3691.714	-2945.216
26292	18776	594	11	1	755	-3.57069e-04	-3691.427	-2945.216
20260	22212	592	11	1	990	-3.45631e-04	-3692.325	-2945.216
17570	28500	943	11	1	939	-3.79205e-04	-3692.22921	-2945.216
12525	9043	115	15	1	443	-3.35131e-04	-3693.920	-2945.216
17008	39138	807	10	3	1969	-3.32174e-04	-3691.99278	-2945.216
25299	21479	544	11	2	939	-3.47780e-04	-3692.749	-2945.216
60025	39939	1712	9	1	2223	-3.20944e-04	-3690.986	-2945.216
13331	12115	192	13	2	482	-3.58251e-04	-3691.925	-2945.216
35442	12098	297	11	3	566	-3.40245e-04	-3692.168	-2945.216
51408	92328	6232	6	1	3617	-3.59967e-04	-3689.545	-2945.216
26855	12982	186	10	3	545	-3.52281e-04	-3692.504	-2945.216
21220	78727	3867	8	3	2644	-3.77077e-04	-3692.490	-2945.216
69835	28899	641	8	2	1134	-3.59784e-04	-3690.873	-2945.216
41739	15000	294	9	1	366	-4.12575e-04	-3692.896	-2945.216
9691	116279	18247	4	3	3123	-4.01911e-04	-3688.271	-2945.216
17197	73029	2160	7	1	2176	-3.90374e-04	-3689.399	-2945.216
58020	23575	439	8	1	734	-3.85493e-04	-3692.213	-2945.216
19203	25759	651	10	1	864	-3.77219e-04	-3693.15967	-2945.216
24533	21143	475	11	2	930	-3.47098e-04	-3690.622	-2945.216
24640	40942	637	8	2	1775	-3.48706e-04	-3690.734	-2945.216
20071	23291	446	10	3	1023	-3.47259e-04	-3691.697	-2945.216
35243	20620	421	9	2	733	-3.70763e-04	-3692.712	-2945.216
35579	15360	641	12	1	664	-3.49027e-04	-3690.704	-2945.216
95328	41022	2594	8	2	1766	-3.49488e-04	-3688.642	-2945.216
21839	54311	936	8	1	2630	-3.36416e-04	-3691.069	-2945.216
16475	35827	578	9	3	1554	-3.48652e-04	-3691.342	-2945.216
77173	12247	181	9	2	659	-3.24701e-04	-3691.750	-2945.216
38567	39806	2112	9	2	1572	-3.59074e-04	-3691.880	-2945.216
61721	90667	9395	7	1	4556	-3.32305e-04	-3691.261	-2945.216
